chr	start	end	strand	name	id
chr12	51632351	51632652	+	DAZAP2	ENST00000552173.5
chr12	52635061	52635362	+	KRT7	ENST00000552183.1
chr12	49311676	49311977	+	CCDC65	ENST00000552188.1
chr12	108523116	108523417	+	WSCD2	ENST00000552195.5
chr12	102010706	102011007	+	MYBPC1	ENST00000552198.5
chr12	42983495	42983796	-	PRICKLE1	ENST00000552200.1
chr12	95397385	95397686	-	NDUFA12	ENST00000552205.5
chr12	93861041	93861342	+	MRPL42	ENST00000552217.5
chr12	56615576	56615877	-	RNF41	ENST00000552244.5
chr12	96793091	96793392	-	CDK17	ENST00000552262.1
chr12	58149260	58149561	+	MARCH9	ENST00000552279.1
chr12	49961750	49962051	+	PRPF40B	ENST00000552301.1
chr12	70636939	70637240	+	CNOT2	ENST00000552319.5
chr12	52637911	52638212	+	KRT7	ENST00000552322.5
chr12	70573867	70574168	+	AC084032.1	ENST00000552324.1
chr12	56511793	56512094	+	ZC3H10	ENST00000552345.1
chr12	56435426	56435727	+	RPS26	ENST00000552361.1
chr12	50144152	50144453	+	TMBIM6	ENST00000552370.5
chr12	112450864	112451165	-	TMEM116	ENST00000552374.6
chr12	82752124	82752425	-	CCDC59	ENST00000552377.5
chr12	50356654	50356955	-	AC025154.2	ENST00000552379.1
chr12	54772922	54773223	-	ZNF385A	ENST00000552382.5
chr12	53443565	53443866	+	TNS2	ENST00000552403.5
chr12	114514687	114514988	+	AC010183.1	ENST00000552413.1
chr12	105478171	105478472	-	ALDH1L2	ENST00000552427.1
chr12	59989597	59989898	+	SLC16A7	ENST00000552432.5
chr12	86650107	86650408	-	MGAT4C	ENST00000552435.6
chr12	120966892	120967193	-	COQ5	ENST00000552443.5
chr12	93532816	93533117	-	AC138123.2	ENST00000552451.1
chr12	77157773	77158074	+	ZDHHC17	ENST00000552453.5
chr12	75784630	75784931	-	CAPS2	ENST00000552497.5
chr12	96389655	96389956	-	HAL	ENST00000552509.5
chr12	113681922	113682223	+	TPCN1	ENST00000552542.5
chr12	120662502	120662803	-	PXN	ENST00000552550.5
chr12	89919141	89919442	-	POC1B	ENST00000552563.1
chr12	56122637	56122938	+	AC009779.2	ENST00000552576.2
chr12	79439234	79439535	+	SYT1	ENST00000552624.5
chr12	80084310	80084611	-	PAWR	ENST00000552637.1
chr12	50293989	50294290	-	FAIM2	ENST00000552669.5
chr12	56211574	56211875	+	ORMDL2	ENST00000552672.5
chr12	42719838	42720139	-	ZCRB1	ENST00000552673.5
chr12	56583206	56583507	-	SMARCC2	ENST00000552674.5
chr12	111284580	111284881	+	CCDC63	ENST00000552694.1
chr12	50677188	50677489	-	LIMA1	ENST00000552720.5
chr12	56122082	56122383	-	CD63	ENST00000552754.5
chr12	108908826	108909127	+	FICD	ENST00000552758.1
chr12	56498070	56498371	+	PA2G4	ENST00000552766.5
chr12	50616437	50616738	-	LIMA1	ENST00000552783.5
chr12	53848267	53848568	+	PCBP2	ENST00000552819.5
chr12	106697978	106698279	-	CKAP4	ENST00000552828.5
chr12	54694735	54695036	+	COPZ1	ENST00000552848.5
chr12	76377744	76378045	-	AC078923.1	ENST00000552856.1
chr12	53894807	53895108	+	TARBP2	ENST00000552857.5
chr12	50290801	50291102	-	FAIM2	ENST00000552863.5
chr12	107078223	107078524	+	RFX4	ENST00000552866.5
chr12	41221735	41222036	+	CNTN1	ENST00000552913.5
chr12	49391899	49392200	+	DDN-AS1	ENST00000552933.2
chr12	49297651	49297952	+	CCDC65	ENST00000552942.5
chr12	82152375	82152676	-	PPFIA2	ENST00000552948.5
chr12	105379837	105380138	+	C12orf45	ENST00000552951.6
chr12	116955412	116955713	+	LINC02457	ENST00000552992.1
chr12	45315580	45315881	-	NELL2	ENST00000552993.5
chr12	108733039	108733340	-	CMKLR1	ENST00000552995.5
chr12	54718642	54718943	+	COPZ1	ENST00000553009.5
chr12	93322987	93323288	-	EEA1	ENST00000553019.1
chr12	50146570	50146871	+	TMBIM6	ENST00000553022.1
chr12	96429255	96429556	-	LTA4H	ENST00000553041.5
chr12	53854548	53854849	+	PCBP2	ENST00000553064.6
chr12	54694748	54695049	-	NFE2	ENST00000553070.5
chr12	106477760	106478061	-	NUAK1	ENST00000553094.1
chr12	70093014	70093315	-	BEST3	ENST00000553096.5
chr12	29470730	29471031	-	AC009318.1	ENST00000553105.1
chr12	113841640	113841941	-	SDS	ENST00000553112.5
chr12	54978049	54978350	-	PPP1R1A	ENST00000553113.5
chr12	45269200	45269501	-	NELL2	ENST00000553120.1
chr12	58026883	58027184	-	B4GALNT1	ENST00000553142.5
chr12	56113900	56114201	+	RDH5	ENST00000553160.1
chr12	112450982	112451283	+	ERP29	ENST00000553161.1
chr12	56709733	56710034	-	CNPY2	ENST00000553164.1
chr12	49961832	49962133	-	MCRS1	ENST00000553173.5
chr12	56584017	56584318	-	AC073896.4	ENST00000553176.1
chr12	111374138	111374439	+	LINC01405	ENST00000553177.5
chr12	54691617	54691918	-	NFE2	ENST00000553198.1
chr12	53661832	53662133	+	ESPL1	ENST00000553219.5
chr12	58131545	58131846	+	TSPAN31	ENST00000553221.5
chr12	113859959	113860260	+	SDSL	ENST00000553248.5
chr12	32831970	32832271	+	DNM1L	ENST00000553257.5
chr12	57522025	57522326	+	LRP1	ENST00000553277.5
chr12	52642833	52643134	+	KRT86	ENST00000553310.6
chr12	56360354	56360655	+	CDK2	ENST00000553376.5
chr12	57623699	57624000	+	SHMT2	ENST00000553529.5
chr12	56843132	56843433	-	TIMELESS	ENST00000553532.5
chr12	57146020	57146321	+	HSD17B6	ENST00000554155.1
chr12	98850872	98851173	-	SLC9A7P1	ENST00000554295.1
chr12	56364653	56364954	+	CDK2	ENST00000554545.1
chr12	57644916	57645217	-	STAC3	ENST00000554578.5
chr12	96883098	96883399	+	CFAP54	ENST00000554621.1
chr12	57630817	57631118	-	NDUFA4L2	ENST00000554688.1
chr12	56105818	56106119	-	ITGA7	ENST00000554724.5
chr12	25205383	25205684	+	LRMP	ENST00000554942.5
chr12	57504021	57504322	-	STAT6	ENST00000555104.5
chr12	99145163	99145464	-	ANKS1B	ENST00000555119.1
chr12	25347944	25348245	+	ETFRF1	ENST00000555711.5
chr12	25403812	25404113	-	KRAS	ENST00000556131.1
chr12	99473691	99473992	-	ANKS1B	ENST00000557083.1
chr12	25228423	25228724	+	LRMP	ENST00000557472.1
chr12	57623193	57623494	+	SHMT2	ENST00000557740.5
chr12	130529450	130529751	-	AC055717.2	ENST00000561864.1
chr12	54147891	54148192	+	AC076968.1	ENST00000566418.1
chr12	130529551	130529852	-	LINC02418	ENST00000567788.1
chr12	107349224	107349525	-	AC007541.1	ENST00000570282.1
chr12	9795217	9795518	+	AC010186.4	ENST00000573622.1
chr12	52478277	52478578	+	OR7E47P	ENST00000575924.1
chr12	104323952	104324253	+	MIR3652	ENST00000579335.1
chr12	53345241	53345542	+	AC107016.2	ENST00000581256.1
chr12	10562097	10562398	-	KLRC4-KLRK1	ENST00000586581.5
chr12	54020096	54020397	-	ATF7	ENST00000588232.5
chr12	53600984	53601285	-	ITGB7	ENST00000589179.5
chr12	12202544	12202845	+	BCL2L14	ENST00000591235.5
chr12	54019712	54020013	-	AC023509.3	ENST00000591834.1
chr12	48591919	48592220	+	AC024257.3	ENST00000595310.1
chr12	7079805	7080106	+	EMG1	ENST00000599672.5
chr12	123849324	123849625	-	SBNO1	ENST00000602398.2
chr12	76425333	76425634	-	PHLDA1	ENST00000602540.5
chr12	6647485	6647786	-	AC006064.4	ENST00000602946.1
chr12	51773514	51773815	-	GALNT6	ENST00000603641.1
chr12	54389632	54389933	-	HOXC-AS2	ENST00000604081.1
chr12	51717826	51718127	-	BIN2	ENST00000604702.1
chr12	89919180	89919481	+	POC1B-AS1	ENST00000605233.2
chr12	90102485	90102786	+	ATP2B1-AS1	ENST00000605386.1
chr12	31397123	31397424	+	AC024940.4	ENST00000605507.1
chr12	51664017	51664318	-	SMAGP	ENST00000605627.1
chr12	51785324	51785625	-	GALNT6	ENST00000605720.1
chr12	7079833	7080134	+	EMG1	ENST00000607161.5
chr12	7053716	7054017	-	U47924.2	ENST00000607421.1
chr12	94208933	94209234	+	CRADD	ENST00000609189.1
chr12	46121507	46121808	-	AC008124.1	ENST00000609803.2
chr12	64846630	64846931	-	AC135279.3	ENST00000610945.1
chr12	120554460	120554761	+	AC004812.2	ENST00000611079.1
chr12	54943137	54943438	+	PDE1B	ENST00000611899.4
chr12	105724163	105724464	+	C12orf75	ENST00000612117.4
chr12	120315041	120315342	-	CIT	ENST00000612548.4
chr12	49371985	49372286	+	WNT1	ENST00000613114.4
chr12	132859149	132859450	+	AC148477.4	ENST00000613430.1
chr12	2849008	2849309	+	LINC02371	ENST00000613818.1
chr12	56075211	56075512	+	METTL7B	ENST00000614691.1
chr12	118474138	118474439	-	WSB2	ENST00000614776.1
chr12	92757557	92757858	-	LINC02391	ENST00000615716.1
chr12	52685248	52685549	-	KRT81	ENST00000615839.1
chr12	6665178	6665479	-	IFFO1	ENST00000615885.4
chr12	57410253	57410554	-	TAC3	ENST00000615887.4
chr12	133187078	133187379	-	LRCOL1	ENST00000616042.1
chr12	92028413	92028714	+	AC126175.1	ENST00000617041.1
chr12	122064204	122064505	+	ORAI1	ENST00000617316.1
chr12	28343620	28343921	-	AC022364.1	ENST00000617468.1
chr12	9979826	9980127	+	KLRF1	ENST00000617793.4
chr12	123752750	123753051	-	CDK2AP1	ENST00000618072.4
chr12	40618666	40618967	-	AC079630.1	ENST00000618127.1
chr12	52242499	52242800	-	FIGNL2	ENST00000618634.2
chr12	121628420	121628721	+	AC069209.1	ENST00000619282.1
chr12	122242393	122242694	+	SETD1B	ENST00000619791.1
chr12	53343607	53343908	-	KRT8	ENST00000619952.2
chr12	113416144	113416445	+	OAS2	ENST00000620097.1
chr12	122907065	122907366	-	CLIP1	ENST00000620786.4
chr12	56727707	56728008	+	IL23A	ENST00000622119.4
chr12	117175865	117176166	+	RNFT2	ENST00000622220.1
chr12	48298654	48298955	+	AC121338.2	ENST00000622535.1
chr12	11323570	11323871	+	SMIM10L1	ENST00000622602.1
chr12	94853528	94853829	+	CEP83-AS1	ENST00000623122.1
chr12	25150322	25150623	-	C12orf77	ENST00000623395.3
chr12	13153103	13153404	+	HTR7P1	ENST00000624664.1
chr12	110436881	110437182	-	AC084876.2	ENST00000624844.1
chr12	8234708	8235009	-	AC006511.3	ENST00000624929.1
chr12	88974057	88974358	+	AC024941.2	ENST00000625763.1
chr12	14134840	14135141	-	GRIN2B	ENST00000627535.2
chr12	2986270	2986571	-	FOXM1	ENST00000627656.2
chr12	56380494	56380795	+	RAB5B	ENST00000628569.1
chr12	48512875	48513176	+	PFKM	ENST00000629846.2
chr12	116985659	116985960	+	MAP1LC3B2	ENST00000630062.1
chr12	64238290	64238591	+	SRGAP1	ENST00000631006.2
chr12	54519746	54520047	+	LINC02381	ENST00000635070.1
chr12	53635422	53635723	+	AC021072.1	ENST00000635789.1
chr12	56224302	56224603	+	TMEM198B	ENST00000636659.1
chr12	124018214	124018515	-	RILPL1	ENST00000636882.1
chr12	95836207	95836508	-	AC084879.1	ENST00000636927.1
chr12	31158732	31159033	-	AC008013.1	ENST00000637279.1
chr12	3475227	3475528	-	AC005865.2	ENST00000637529.1
chr12	2966198	2966499	-	AC005841.2	ENST00000637658.1
chr12	3861433	3861734	+	AC006207.1	ENST00000637958.1
chr12	8234611	8234912	+	NECAP1	ENST00000638237.1
chr12	5018816	5019117	+	AC005906.2	ENST00000638821.1
chr12	97858345	97858646	+	RMST	ENST00000639121.1
chr12	7772887	7773188	+	AC006927.4	ENST00000639187.1
chr12	8234614	8234915	+	AC006511.5	ENST00000639368.1
chr12	42878049	42878350	-	PRICKLE1	ENST00000640055.1
chr12	42863411	42863712	-	PRICKLE1	ENST00000640840.1
chr12	104323861	104324162	+	HSP90B1	ENST00000640977.1
chr12	9600640	9600941	+	AC092821.3	ENST00000641608.1
chr12	62860346	62860647	+	MON2	ENST00000641654.1
chr12	29541971	29542272	+	OVCH1-AS1	ENST00000641955.1
chr12	8549186	8549487	-	AC092865.6	ENST00000642101.1
chr13	42846038	42846339	+	AKAP11	ENST00000025301.3
chr13	46679110	46679411	-	CPB2	ENST00000181383.8
chr13	25254298	25254599	+	ATP12A	ENST00000218548.10
chr13	23754840	23755141	+	SGCG	ENST00000218867.3
chr13	53602643	53602944	+	OLFM4	ENST00000219022.2
chr13	41593399	41593700	-	ELF1	ENST00000239882.6
chr13	37574669	37574970	+	EXOSC8	ENST00000239893.9
chr13	20805066	20805367	-	GJB6	ENST00000241124.10
chr13	20735137	20735438	-	GJA3	ENST00000241125.3
chr13	28674678	28674979	-	FLT3	ENST00000241453.11
chr13	52435866	52436167	+	CCDC70	ENST00000242819.5
chr13	46626830	46627131	-	ZC3H13	ENST00000242848.8
chr13	98086225	98086526	+	RAP2A	ENST00000245304.4
chr13	24144258	24144559	+	TNFRSF19	ENST00000248484.8
chr13	49821810	49822111	+	CDADC1	ENST00000251108.10
chr13	25338039	25338340	+	RNF17	ENST00000255324.9
chr13	37393110	37393411	+	RFXAP	ENST00000255476.2
chr13	33760165	33760466	-	STARD13	ENST00000255486.8
chr13	52980212	52980513	-	THSD1	ENST00000258613.4
chr13	48669189	48669490	-	MED4	ENST00000258648.6
chr13	48611452	48611753	+	NUDT15	ENST00000258662.2
chr13	95248460	95248761	-	TGDS	ENST00000261296.6
chr13	44360993	44361294	-	ENOX1	ENST00000261488.10
chr13	45010930	45011231	-	TSC22D1	ENST00000261489.6
chr13	33112868	33113169	-	N4BP2L2	ENST00000267068.5
chr13	98829468	98829769	-	RNF113B	ENST00000267291.6
chr13	111214029	111214330	-	RAB20	ENST00000267328.4
chr13	27825465	27825766	+	RPL21	ENST00000272274.8
chr13	52378183	52378484	-	DHRS12	ENST00000280056.6
chr13	39261015	39261316	+	FREM2	ENST00000280481.8
chr13	79233263	79233564	-	RNF219	ENST00000282003.6
chr13	111972764	111973065	+	TEX29	ENST00000283547.1
chr13	21099945	21100246	-	CRYL1	ENST00000298248.11
chr13	96204728	96205029	+	CLDN10	ENST00000299339.2
chr13	21750533	21750834	+	MRPL57	ENST00000309594.4
chr13	46276195	46276496	+	SPERT	ENST00000310521.5
chr13	111567302	111567603	-	ANKRD10	ENST00000310847.8
chr13	45992462	45992763	-	SLC25A30	ENST00000310862.11
chr13	47127052	47127353	+	LRCH1	ENST00000311191.10
chr13	52027083	52027384	-	INTS6	ENST00000311234.8
chr13	43355500	43355801	+	FAM216B	ENST00000313851.2
chr13	36788674	36788975	-	SOHLH2	ENST00000317764.6
chr13	21141026	21141327	+	IFT88	ENST00000319980.10
chr13	31736013	31736314	-	HSPH1	ENST00000320027.9
chr13	76334319	76334620	+	LMO7	ENST00000321797.12
chr13	103411369	103411670	-	CCDC168	ENST00000322527.3
chr13	41345258	41345559	-	MRPS31	ENST00000323563.7
chr13	31040024	31040325	-	HMGB1	ENST00000326004.4
chr13	101326977	101327278	-	TMTC4	ENST00000328767.9
chr13	112721710	112722011	+	SOX1	ENST00000330949.2
chr13	24883465	24883766	+	C1QTNF9	ENST00000332018.4
chr13	113951305	113951606	+	LAMP1	ENST00000332556.4
chr13	28562740	28563041	-	URAD	ENST00000332715.5
chr13	111365374	111365675	+	ING1	ENST00000333219.8
chr13	114898035	114898336	-	RASA3	ENST00000334062.7
chr13	114312450	114312751	-	ATP4B	ENST00000335288.4
chr13	114321219	114321520	+	GRK1	ENST00000335678.6
chr13	20437725	20438026	-	ZMYM5	ENST00000337963.8
chr13	41363382	41363683	+	SLC25A15	ENST00000338625.8
chr13	99667983	99668284	-	DOCK9	ENST00000339416.7
chr13	45694399	45694700	+	GTF2F2	ENST00000340473.7
chr13	113812717	113813018	+	PROZ	ENST00000342783.4
chr13	24844574	24844875	+	SPATA13	ENST00000343003.10
chr13	31773822	31774123	+	B3GLCT	ENST00000343307.4
chr13	97874299	97874600	+	MBNL2	ENST00000343600.8
chr13	53226723	53227024	+	SUGT1	ENST00000343788.10
chr13	49000992	49001293	-	LPAR6	ENST00000345941.2
chr13	37494324	37494625	-	SMAD9	ENST00000350148.9
chr13	50018259	50018560	+	SETDB2	ENST00000354234.8
chr13	36944266	36944567	-	SPART	ENST00000355182.8
chr13	52703163	52703464	-	NEK5	ENST00000355568.8
chr13	77601234	77601535	-	FBXL3	ENST00000355619.9
chr13	115000201	115000502	+	CDC16	ENST00000356221.7
chr13	114103406	114103707	-	ADPRHL1	ENST00000356501.8
chr13	109248249	109248550	+	MYO16	ENST00000356711.6
chr13	108867079	108867380	-	LIG4	ENST00000356922.5
chr13	77901128	77901429	-	MYCBP2	ENST00000357337.10
chr13	107219920	107220221	-	ARGLU1	ENST00000360629.3
chr13	36705392	36705693	-	DCLK1	ENST00000360631.7
chr13	27131589	27131890	+	WASF3	ENST00000361042.8
chr13	115079737	115080038	+	CHAMP1	ENST00000361283.2
chr13	20207570	20207871	+	MPHOSPH8	ENST00000361479.9
chr13	73765414	73765715	+	RNU4-10P	ENST00000364383.1
chr13	21612755	21613056	-	RNU4-9P	ENST00000364951.1
chr13	114133342	114133643	-	RNU1-16P	ENST00000365477.1
chr13	115046808	115047109	+	UPF3A	ENST00000375299.7
chr13	114018390	114018691	-	GRTP1	ENST00000375431.8
chr13	113862369	113862670	-	PCID2	ENST00000375459.5
chr13	113548441	113548742	+	MCF2L	ENST00000375608.7
chr13	113242388	113242689	-	TUBGCP3	ENST00000375669.7
chr13	111767373	111767674	+	ARHGEF7	ENST00000375739.6
chr13	110438864	110439165	-	IRS2	ENST00000375856.4
chr13	108870476	108870777	+	ABHD13	ENST00000375898.3
chr13	107214248	107214549	-	ARGLU1	ENST00000375926.5
chr13	103451306	103451607	-	KDELC1	ENST00000376004.4
chr13	103426110	103426411	-	TEX30	ENST00000376032.8
chr13	103249102	103249403	+	TPP2	ENST00000376065.8
chr13	102142052	102142353	+	ITGBL1	ENST00000376162.7
chr13	100741018	100741319	+	PCCA	ENST00000376279.7
chr13	100633775	100634076	+	ZIC2	ENST00000376335.7
chr13	100258672	100258973	+	CLYBL	ENST00000376355.7
chr13	100153420	100153721	+	TM9SF2	ENST00000376387.4
chr13	99959608	99959909	-	GPR183	ENST00000376414.4
chr13	99630193	99630494	-	DOCK9	ENST00000376460.5
chr13	99404857	99405158	-	SLC15A1	ENST00000376503.9
chr13	99174201	99174502	-	STK24	ENST00000376547.7
chr13	96705586	96705887	-	UGGT2	ENST00000376747.7
chr13	96085607	96085908	+	CLDN10	ENST00000376873.7
chr13	95953632	95953933	-	ABCC4	ENST00000376887.8
chr13	95253906	95254207	+	GPR180	ENST00000376958.4
chr13	95131872	95132173	-	DCT	ENST00000377028.9
chr13	93878844	93879145	+	GPC6	ENST00000377047.8
chr13	92050610	92050911	+	GPC5	ENST00000377067.8
chr13	84456477	84456778	-	SLITRK1	ENST00000377084.3
chr13	80915035	80915336	-	SPRY2	ENST00000377104.3
chr13	79177644	79177945	-	POU4F1	ENST00000377208.6
chr13	78109643	78109944	+	SCEL	ENST00000377246.7
chr13	77522381	77522682	+	ACOD1	ENST00000377462.5
chr13	77460474	77460775	-	KCTD12	ENST00000377474.3
chr13	76210208	76210509	+	LMO7	ENST00000377499.9
chr13	76123676	76123977	+	UCHL3	ENST00000377595.7
chr13	76056199	76056500	-	TBC1D4	ENST00000377625.6
chr13	73632679	73632980	+	KLF5	ENST00000377687.5
chr13	73301810	73302111	+	BORA	ENST00000377814.6
chr13	73301774	73302075	-	MZT1	ENST00000377818.3
chr13	70682540	70682841	-	KLHL1	ENST00000377844.8
chr13	53422724	53423025	-	PCDH8	ENST00000377942.7
chr13	53313864	53314165	-	CNMD	ENST00000377962.7
chr13	53024706	53025007	-	VPS36	ENST00000378060.8
chr13	50159668	50159969	-	RCBTB1	ENST00000378302.6
chr13	50069846	50070147	+	PHF11	ENST00000378319.7
chr13	48807088	48807389	+	ITM2B	ENST00000378549.5
chr13	47371217	47371518	-	ESD	ENST00000378697.5
chr13	47064814	47065115	+	COX17P1	ENST00000378775.3
chr13	45768801	45769102	-	KCTD4	ENST00000379108.1
chr13	45563567	45563868	-	NUFIP1	ENST00000379161.4
chr13	44947727	44948028	+	SERP2	ENST00000379179.7
chr13	42613921	42614222	+	DGKH	ENST00000379274.6
chr13	42535169	42535470	-	VWA8	ENST00000379310.7
chr13	42031444	42031745	+	RGCC	ENST00000379359.3
chr13	41885090	41885391	+	NAA16	ENST00000379406.7
chr13	41768651	41768952	-	KBTBD7	ENST00000379483.3
chr13	41706831	41707132	-	KBTBD6	ENST00000379485.1
chr13	41240683	41240984	-	FOXO1	ENST00000379561.5
chr13	40177257	40177558	-	LHFPL6	ENST00000379589.3
chr13	39612277	39612578	+	NHLRC3	ENST00000379599.6
chr13	38172836	38173137	-	POSTN	ENST00000379743.8
chr13	36429728	36430029	-	DCLK1	ENST00000379893.5
chr13	32889360	32889661	+	BRCA2	ENST00000380152.7
chr13	32313428	32313729	+	RXFP2	ENST00000380314.2
chr13	31309394	31309695	+	ALOX5AP	ENST00000380490.4
chr13	30881570	30881871	-	KATNAL1	ENST00000380615.7
chr13	30424770	30425071	-	UBL3	ENST00000380680.4
chr13	30169774	30170075	-	SLC7A1	ENST00000380752.9
chr13	30002513	30002814	+	MTUS2	ENST00000380808.6
chr13	29293056	29293357	-	SLC46A3	ENST00000380814.4
chr13	29232990	29233291	+	POMP	ENST00000380842.4
chr13	28493906	28494207	+	PDX1	ENST00000381033.4
chr13	28024650	28024951	-	MTIF3	ENST00000381116.5
chr13	27998430	27998731	+	GTF3A	ENST00000381140.8
chr13	25945958	25946259	+	ATP8A2	ENST00000381655.6
chr13	25542542	25542843	-	TPTE2P1	ENST00000381871.3
chr13	25086897	25087198	-	PARP4	ENST00000381989.3
chr13	24734636	24734937	+	SPATA13	ENST00000382095.8
chr13	24462777	24463078	+	PCOTH	ENST00000382133.8
chr13	24553588	24553889	+	AL359736.1	ENST00000382141.4
chr13	22033457	22033758	-	ZDHHC20	ENST00000382466.7
chr13	21635635	21635936	-	LATS2	ENST00000382592.4
chr13	21348037	21348338	-	EEF1AKMT1	ENST00000382758.5
chr13	20766986	20767287	-	GJB2	ENST00000382848.4
chr13	20532597	20532898	+	ZMYM2	ENST00000382874.6
chr13	27828950	27829251	+	SNORD102	ENST00000384769.1
chr13	31117547	31117848	-	RBM22P2	ENST00000393978.2
chr13	113698725	113699026	+	MCF2L	ENST00000397021.5
chr13	113622563	113622864	+	MCF2L	ENST00000397030.5
chr13	99229354	99229655	-	STK24	ENST00000397517.6
chr13	49684198	49684499	+	FNDC3A	ENST00000398316.7
chr13	43566250	43566551	-	EPSTI1	ENST00000398762.7
chr13	43148038	43148339	+	TNFSF11	ENST00000398795.6
chr13	33780092	33780393	-	STARD13	ENST00000399365.7
chr13	31038333	31038634	-	HMGB1	ENST00000399489.5
chr13	31039328	31039629	-	HMGB1	ENST00000399494.5
chr13	21750635	21750936	-	SKA3	ENST00000400018.7
chr13	20806389	20806690	-	GJB6	ENST00000400066.7
chr13	110957908	110958209	+	COL4A2	ENST00000400163.6
chr13	107220461	107220762	-	ARGLU1	ENST00000400198.7
chr13	60738070	60738371	-	DIAPH3	ENST00000400324.8
chr13	46425820	46426121	-	SIAH3	ENST00000400405.3
chr13	35516173	35516474	+	NBEA	ENST00000400445.7
chr13	30509791	30510092	+	LINC00544	ENST00000400540.5
chr13	23949631	23949932	-	SACS	ENST00000402364.1
chr13	41635525	41635826	-	ELF1	ENST00000405737.2
chr13	31191683	31191984	-	HMGB1	ENST00000405805.5
chr13	27334871	27335172	-	GPR12	ENST00000405846.4
chr13	108870665	108870966	-	LIG4	ENST00000405925.2
chr13	76111890	76112191	-	COMMD6	ENST00000406936.7
chr13	61989604	61989905	-	PCDH20	ENST00000409204.4
chr13	113776877	113777178	+	F10	ENST00000409306.5
chr13	47012274	47012575	-	RUBCNL	ENST00000409879.6
chr13	113655333	113655634	+	MCF2L	ENST00000409954.6
chr13	50018138	50018439	-	CAB39L	ENST00000410043.5
chr13	31506670	31506971	-	TEX26-AS1	ENST00000411835.6
chr13	51381741	51382042	+	DLEU7-AS1	ENST00000413510.3
chr13	30682954	30683255	-	LINC00365	ENST00000413591.1
chr13	113030418	113030719	+	SPACA7	ENST00000414180.5
chr13	30880942	30881243	-	KATNAL1	ENST00000414289.5
chr13	110380378	110380679	+	LINC00676	ENST00000416090.1
chr13	30951050	30951351	-	LINC00426	ENST00000416261.1
chr13	46742603	46742904	-	LCP1	ENST00000416500.5
chr13	99910577	99910878	-	GPR18	ENST00000416594.1
chr13	40229513	40229814	+	COG6	ENST00000416691.5
chr13	96186113	96186414	-	CLDN10-AS1	ENST00000416909.1
chr13	46961314	46961615	-	RUBCNL	ENST00000417405.1
chr13	23708062	23708363	+	HMGA1P6	ENST00000418454.2
chr13	103054756	103055057	-	FGF14	ENST00000418923.2
chr13	114005737	114006038	+	GRTP1-AS1	ENST00000419199.1
chr13	74805343	74805644	+	LINC00402	ENST00000419499.1
chr13	51913575	51913876	+	SERPINE3	ENST00000419898.2
chr13	30996323	30996624	-	LINC01058	ENST00000420694.1
chr13	113633375	113633676	+	MCF2L	ENST00000421756.5
chr13	29172719	29173020	+	EIF4A1P7	ENST00000421800.1
chr13	98612221	98612522	+	IPO5	ENST00000421861.6
chr13	111747934	111748235	+	LINC00368	ENST00000422994.1
chr13	39564945	39565246	-	STOML3	ENST00000423210.1
chr13	21918933	21919234	-	LINC00539	ENST00000423575.5
chr13	52768462	52768763	-	MRPS31P5	ENST00000423686.1
chr13	48575274	48575575	+	SUCLA2-AS1	ENST00000423869.1
chr13	21872027	21872328	+	MIPEPP3	ENST00000424756.1
chr13	77556000	77556301	-	RPL7P44	ENST00000424827.1
chr13	85937485	85937786	+	LINC00351	ENST00000424926.2
chr13	44453443	44453744	+	LACC1	ENST00000425906.1
chr13	99852913	99853214	-	UBAC2-AS1	ENST00000426037.6
chr13	111838950	111839251	+	ARHGEF7	ENST00000426073.6
chr13	111855156	111855457	+	ARHGEF7	ENST00000426768.2
chr13	38443809	38444110	-	TRPC4	ENST00000426868.6
chr13	52034410	52034711	+	RPS4XP16	ENST00000427198.2
chr13	101192451	101192752	-	RPS26P47	ENST00000427219.1
chr13	99738828	99739129	-	DOCK9	ENST00000427887.2
chr13	60718581	60718882	+	DIAPH3-AS2	ENST00000428656.1
chr13	32420727	32421028	+	EEF1DP3	ENST00000428783.1
chr13	31480592	31480893	+	MEDAG	ENST00000428944.1
chr13	107315534	107315835	+	ATP5G1P5	ENST00000429024.1
chr13	108921726	108922027	+	TNFSF13B	ENST00000430559.5
chr13	110407564	110407865	-	AL162497.1	ENST00000430722.2
chr13	99293442	99293743	-	CALM2P4	ENST00000430810.1
chr13	48337344	48337645	+	NAP1L4P3	ENST00000432820.1
chr13	100803295	100803596	-	RPL15P18	ENST00000432924.2
chr13	73277580	73277881	+	RPL21P110	ENST00000433345.1
chr13	114145059	114145360	+	TMCO3	ENST00000434316.6
chr13	34391955	34392256	+	RFC3	ENST00000434425.5
chr13	24825581	24825882	+	SPATA13	ENST00000434675.5
chr13	46275268	46275569	-	LINC01055	ENST00000435067.2
chr13	32634750	32635051	+	FRY	ENST00000436046.1
chr13	31001877	31002178	+	UBE2L5P	ENST00000436446.1
chr13	48877744	48878045	-	LINC00441	ENST00000436963.1
chr13	103019698	103019999	-	FGF14-IT1	ENST00000437115.2
chr13	48708619	48708920	-	POLR2KP2	ENST00000438155.2
chr13	95364719	95365020	+	SOX21-AS1	ENST00000438290.2
chr13	79980299	79980600	-	RBM26	ENST00000438737.2
chr13	107028660	107028961	+	LINC00460	ENST00000439790.5
chr13	33924710	33925011	-	STARD13	ENST00000439831.1
